created_at,id,id_str,full_text,Result,truncated,display_text_range,entities,extended_entities,metadata,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang
Sat Apr 03 14:59:25 +0000 2021,1.37836E+18,1.37836E+18,"That offside flick-panna-goal is probably #asensio's best move this whole season 🔥

#RMAEIB #LaLiga",1,FALSE,"[0, 99]","{'hashtags': [{'text': 'asensio', 'indices': [42, 50]}, {'text': 'RMAEIB', 'indices': [84, 91]}, {'text': 'LaLiga', 'indices': [92, 99]}], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,"{'id': 108582462, 'id_str': '108582462', 'name': 'Akhil', 'screen_name': 'akhil_fisher', 'location': 'Somewhere following football', 'description': ""Football writer 🖊 @talkchelsea, @managingmadrid, @SempreMilanCom etc. (+4) & Player analyst 🔎 @scoutingapp\n\nAll views my own, unless they're not."", 'url': 'https://t.co/IU2VwfEEx9', 'entities': {'url': {'urls': [{'url': 'https://t.co/IU2VwfEEx9', 'expanded_url': 'https://akhilfisher.contently.com', 'display_url': 'akhilfisher.contently.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 113, 'friends_count': 513, 'listed_count': 1, 'created_at': 'Tue Jan 26 11:41:53 +0000 2010', 'favourites_count': 1583, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 2980, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': '0F0F0F', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1064899297273991168/mYsVotjW_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1064899297273991168/mYsVotjW_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/108582462/1612463964', 'profile_link_color': '1B95E0', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': 'EFEFEF', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none'}",,,,,FALSE,0,1,FALSE,FALSE,en,,
Sat Apr 03 14:59:01 +0000 2021,1.37836E+18,1.37836E+18,#Asensio has the left foot of a god🔥🔥🔥🔥🔥🔥🔥🔥🔥 #HalaMadrid. He’s never missing a finesse shot 🥳🥳🥳🥳🥳,1,FALSE,"[0, 97]","{'hashtags': [{'text': 'Asensio', 'indices': [0, 8]}, {'text': 'HalaMadrid', 'indices': [45, 56]}], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,"{'id': 1371976956275724298, 'id_str': '1371976956275724298', 'name': 'thebestof_sky', 'screen_name': 'thebestof_sky', 'location': 'New York, NY', 'description': 'I’m a photographer,videographer and musician - Sky • #Heatnation #Halamadrid #Porcupinewarrior🇬🇭 #ig https://t.co/TKtCJasIOQ', 'url': 'https://t.co/RuWlt5wJrw', 'entities': {'url': {'urls': [{'url': 'https://t.co/RuWlt5wJrw', 'expanded_url': 'https://youtu.be/l3wAWxrW64A', 'display_url': 'youtu.be/l3wAWxrW64A', 'indices': [0, 23]}]}, 'description': {'urls': [{'url': 'https://t.co/TKtCJasIOQ', 'expanded_url': 'https://instagram.com/thebestof_sky?igshid=1gsilv6mhz6lh', 'display_url': 'instagram.com/thebestof_sky?…', 'indices': [101, 124]}]}}, 'protected': False, 'followers_count': 83, 'friends_count': 195, 'listed_count': 0, 'created_at': 'Wed Mar 17 00:09:50 +0000 2021', 'favourites_count': 250, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 278, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1377810426210160640/mKNAjg43_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1377810426210160640/mKNAjg43_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1371976956275724298/1615941227', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none'}",,,"{'id': '011add077f4d2da3', 'url': 'https://api.twitter.com/1.1/geo/id/011add077f4d2da3.json', 'place_type': 'city', 'name': 'Brooklyn', 'full_name': 'Brooklyn, NY', 'country_code': 'US', 'country': 'United States', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[-74.041878, 40.570842], [-73.855673, 40.570842], [-73.855673, 40.739434], [-74.041878, 40.739434]]]}, 'attributes': {}}",,FALSE,0,0,FALSE,FALSE,en,,
Sat Apr 03 14:58:31 +0000 2021,1.37836E+18,1.37836E+18,"#MarcadorMerengueDeCokemon 

Goooool de @marcoasensio10 !!!

@realmadrid 1-0 @SDEibarEN 

#HalaMadrid 
#HalaMadridYNadaMas 
#RealMadridEibar 
#RealMadrid
#Asensio
#LaLiga https://t.co/YIvh052VAi",1,FALSE,"[0, 170]","{'hashtags': [{'text': 'MarcadorMerengueDeCokemon', 'indices': [0, 26]}, {'text': 'HalaMadrid', 'indices': [90, 101]}, {'text': 'HalaMadridYNadaMas', 'indices': [103, 122]}, {'text': 'RealMadridEibar', 'indices': [124, 140]}, {'text': 'RealMadrid', 'indices': [142, 153]}, {'text': 'Asensio', 'indices': [154, 162]}, {'text': 'LaLiga', 'indices': [163, 170]}], 'symbols': [], 'user_mentions': [{'screen_name': 'marcoasensio10', 'name': 'Marco Asensio', 'id': 215039104, 'id_str': '215039104', 'indices': [40, 55]}, {'screen_name': 'realmadrid', 'name': 'Real Madrid C.F.', 'id': 14872237, 'id_str': '14872237', 'indices': [61, 72]}, {'screen_name': 'SDEibarEN', 'name': 'SD Eibar 🇺🇸🇬🇧', 'id': 1047374641252245504, 'id_str': '1047374641252245504', 'indices': [77, 87]}], 'urls': [], 'media': [{'id': 1378361266268381186, 'id_str': '1378361266268381186', 'indices': [171, 194], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EyDsRNAVoAIwapq.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EyDsRNAVoAIwapq.jpg', 'url': 'https://t.co/YIvh052VAi', 'display_url': 'pic.twitter.com/YIvh052VAi', 'expanded_url': 'https://twitter.com/cokemon6/status/1378361277085540357/photo/1', 'type': 'photo', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 498, 'h': 498, 'resize': 'fit'}, 'medium': {'w': 498, 'h': 498, 'resize': 'fit'}, 'small': {'w': 498, 'h': 498, 'resize': 'fit'}}}]}","{'media': [{'id': 1378361266268381186, 'id_str': '1378361266268381186', 'indices': [171, 194], 'media_url': 'http://pbs.twimg.com/tweet_video_thumb/EyDsRNAVoAIwapq.jpg', 'media_url_https': 'https://pbs.twimg.com/tweet_video_thumb/EyDsRNAVoAIwapq.jpg', 'url': 'https://t.co/YIvh052VAi', 'display_url': 'pic.twitter.com/YIvh052VAi', 'expanded_url': 'https://twitter.com/cokemon6/status/1378361277085540357/photo/1', 'type': 'animated_gif', 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 498, 'h': 498, 'resize': 'fit'}, 'medium': {'w': 498, 'h': 498, 'resize': 'fit'}, 'small': {'w': 498, 'h': 498, 'resize': 'fit'}}, 'video_info': {'aspect_ratio': [1, 1], 'variants': [{'bitrate': 0, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/tweet_video/EyDsRNAVoAIwapq.mp4'}]}}]}","{'iso_language_code': 'en', 'result_type': 'recent'}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,"{'id': 905876719185391616, 'id_str': '905876719185391616', 'name': 'Coke', 'screen_name': 'cokemon6', 'location': 'Mexico', 'description': 'Le haim!!!', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 138, 'friends_count': 760, 'listed_count': 0, 'created_at': 'Thu Sep 07 19:33:35 +0000 2017', 'favourites_count': 12464, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 5439, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1293371761166229505/CC1O_XWK_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1293371761166229505/CC1O_XWK_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/905876719185391616/1594998121', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none'}",,,,,FALSE,0,0,FALSE,FALSE,FALSE,en
Sat Apr 03 14:58:20 +0000 2021,1.37836E+18,1.37836E+18,"Fcuk you VAR, come rule out this too ! 🔥🔥🔥😂🤣😂 #Asensio #HalaMadrid",1,FALSE,"[0, 66]","{'hashtags': [{'text': 'Asensio', 'indices': [46, 54]}, {'text': 'HalaMadrid', 'indices': [55, 66]}], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,"{'id': 1258533951699910660, 'id_str': '1258533951699910660', 'name': 'Nipa Y3 Bad', 'screen_name': 'byosef_', 'location': '', 'description': ""It is unwise to be too sure of one's own wisdom !!! 100% Meditant 🕊 #HalaMadrid 💫"", 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 1400, 'friends_count': 1434, 'listed_count': 0, 'created_at': 'Thu May 07 23:07:53 +0000 2020', 'favourites_count': 4767, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 6004, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1363495389865922561/0hfmRkq4_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1363495389865922561/0hfmRkq4_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/1258533951699910660/1588893726', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none'}",,,,,FALSE,0,1,FALSE,FALSE,en,,
Sat Apr 03 14:58:05 +0000 2021,1.37836E+18,1.37836E+18,Gooooool #RealMadrid min 41 #Asensio 1/0 vs #Eibar #RealMadridEibar,1,FALSE,"[0, 67]","{'hashtags': [{'text': 'RealMadrid', 'indices': [9, 20]}, {'text': 'Asensio', 'indices': [28, 36]}, {'text': 'Eibar', 'indices': [44, 50]}, {'text': 'RealMadridEibar', 'indices': [51, 67]}], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,"{'id': 721850605518491648, 'id_str': '721850605518491648', 'name': 'Juan Carlos Ramirez OSOJCRG 🇲🇽', 'screen_name': 'Osovisionn', 'location': 'CDMX', 'description': 'El miedo lleva a la ira, la ira lleva al odio, el odio lleva al sufrimiento.', 'url': 'https://t.co/KwQpy6xPzF', 'entities': {'url': {'urls': [{'url': 'https://t.co/KwQpy6xPzF', 'expanded_url': 'http://www.consejeros.com.mx', 'display_url': 'consejeros.com.mx', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 72, 'friends_count': 141, 'listed_count': 0, 'created_at': 'Sun Apr 17 23:59:30 +0000 2016', 'favourites_count': 38, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': False, 'statuses_count': 24327, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'F5F8FA', 'profile_background_image_url': None, 'profile_background_image_url_https': None, 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1174480867613454338/666sswIo_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1174480867613454338/666sswIo_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/721850605518491648/1551823502', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': True, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none'}",,,,,FALSE,0,0,FALSE,FALSE,en,,
Sat Apr 03 14:57:14 +0000 2021,1.37836E+18,1.37836E+18,This time legal goal by Asensio #RealMadridEibar #RealMadrid #HalaMadrid #asensio,1,FALSE,"[0, 81]","{'hashtags': [{'text': 'RealMadridEibar', 'indices': [32, 48]}, {'text': 'RealMadrid', 'indices': [49, 60]}, {'text': 'HalaMadrid', 'indices': [61, 72]}, {'text': 'asensio', 'indices': [73, 81]}], 'symbols': [], 'user_mentions': [], 'urls': []}","{'iso_language_code': 'en', 'result_type': 'recent'}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,"{'id': 2513349486, 'id_str': '2513349486', 'name': 'Nasir', 'screen_name': 'Im_madridista_7', 'location': '', 'description': 'Real Madrid is everything .. Hala Madrid.', 'url': None, 'entities': {'description': {'urls': []}}, 'protected': False, 'followers_count': 441, 'friends_count': 588, 'listed_count': 13, 'created_at': 'Wed May 21 18:46:53 +0000 2014', 'favourites_count': 56243, 'utc_offset': None, 'time_zone': None, 'geo_enabled': True, 'verified': False, 'statuses_count': 22617, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': False, 'profile_background_color': 'C0DEED', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme1/bg.png', 'profile_background_tile': False, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1283872347154296832/3GiZnkpc_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1283872347154296832/3GiZnkpc_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/2513349486/1594933975', 'profile_link_color': '1DA1F2', 'profile_sidebar_border_color': 'C0DEED', 'profile_sidebar_fill_color': 'DDEEF6', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': True, 'default_profile_image': False, 'following': None, 'follow_request_sent': None, 'notifications': None, 'translator_type': 'none'}",,,,,FALSE,0,0,FALSE,FALSE,en,,
